customer_id,age,income,occupation,marital_status,children,risk_score,customer_preferences,insurance_type,insurance_premium,policy_recommendation,purchase_probability
1,29,74993,Engineer,Divorced,2,0.96,comprehensive coverage,home,1766.7,full coverage,0.88
2,60,106970,Teacher,Single,2,0.17,budget-friendly,vehicle,2155.98,basic coverage,0.16
3,43,56649,Freelancer,Divorced,0,0.95,budget-friendly,life,1838.71,standard coverage,0.51
4,45,57859,Engineer,Divorced,0,0.17,budget-friendly,life,1049.69,basic coverage,0.16
5,45,124862,Lawyer,Married,0,0.84,budget-friendly,home,3408.67,standard coverage,0.71
6,40,99509,Engineer,Divorced,2,0.79,balanced,vehicle,3559.79,standard coverage,0.52
7,56,73172,Engineer,Single,2,0.67,comprehensive coverage,vehicle,1487.87,full coverage,0.42
8,47,37806,Doctor,Divorced,0,0.71,budget-friendly,vehicle,3304.7,standard coverage,0.5
9,53,120026,Freelancer,Married,2,0.69,budget-friendly,vehicle,732.64,standard coverage,0.55
10,55,149849,Lawyer,Divorced,3,0.53,balanced,health,856.07,standard coverage,0.33
11,31,132156,Engineer,Divorced,1,0.03,balanced,life,1012.01,standard coverage,0.03
12,48,32703,Business,Divorced,1,0.58,budget-friendly,vehicle,1403.99,basic coverage,0.3
13,63,145241,Engineer,Divorced,3,0.39,budget-friendly,life,853.25,basic coverage,0.21
14,29,108885,Doctor,Married,1,0.27,budget-friendly,vehicle,1341.63,basic coverage,0.2
15,64,128113,Teacher,Divorced,3,0.49,balanced,life,2266.27,standard coverage,0.33
16,28,72688,Teacher,Divorced,0,0.85,comprehensive coverage,life,892.06,full coverage,0.56
17,21,98228,Teacher,Divorced,3,0.58,budget-friendly,vehicle,1350.72,basic coverage,0.42
18,42,127821,Business,Single,0,0.96,budget-friendly,home,500.2,standard coverage,0.76
19,60,75662,Engineer,Divorced,1,0.42,budget-friendly,life,2725.41,basic coverage,0.24
20,42,74458,Freelancer,Married,3,0.17,budget-friendly,vehicle,1836.39,basic coverage,0.16
21,61,35151,Freelancer,Divorced,1,0.31,balanced,vehicle,1030.25,standard coverage,0.21
22,37,140018,Lawyer,Married,3,0.14,budget-friendly,vehicle,584.84,basic coverage,0.1
23,25,61938,Engineer,Single,1,0.68,comprehensive coverage,vehicle,1940.07,full coverage,0.53
24,41,130649,Teacher,Married,2,0.16,comprehensive coverage,life,700.5,standard coverage,0.13
25,35,79533,Teacher,Divorced,1,0.52,comprehensive coverage,health,1788.59,standard coverage,0.29
